file_date,Country_Region,continent_name,total_deaths,population,kpi_deaths_100000,kpi_deaths_100
2021-02-05T00:00:00+01:00@Europe/Zurich,Thailand,Asia,79,69799978,0.11318055143226549,1.131805514322655E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Papua New Guinea,Oceania,9,8947027,0.10059207376930908,1.0059207376930908E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Mongolia,Asia,2,3278292,0.06100737823232342,6.100737823232342E-5
2021-02-05T00:00:00+01:00@Europe/Zurich,Taiwan*,Asia,9,23816775,0.03778849151490914,3.7788491514909134E-5
2021-02-05T00:00:00+01:00@Europe/Zurich,Vietnam,Asia,35,97338583,0.03595696477315681,3.595696477315681E-5
2021-02-05T00:00:00+01:00@Europe/Zurich,Tanzania,Africa,21,59734213,0.03515573227691139,3.515573227691139E-5
2021-02-05T00:00:00+01:00@Europe/Zurich,Burundi,Africa,3,11890781,0.025229629576055602,2.5229629576055604E-5
2021-02-05T00:00:00+01:00@Europe/Zurich,Cambodia,Asia,0,16718971,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Dominica,North America,0,71991,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Holy See,Europe,0,809,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Laos,Asia,0,7275556,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Marshall Islands,Oceania,0,58413,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Micronesia,Oceania,0,113815,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Saint Kitts and Nevis,North America,0,53192,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Samoa,Oceania,0,196130,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Solomon Islands,Oceania,0,652858,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Timor-Leste,Oceania,0,1318442,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Vanuatu,Oceania,0,292680,0.0,0.0
2021-02-05T00:00:00+01:00@Europe/Zurich,Diamond Princess,,13,,,
2021-02-05T00:00:00+01:00@Europe/Zurich,MS Zaandam,,2,,,
2021-02-04T00:00:00+01:00@Europe/Zurich,San Marino,Europe,68,33938,200.36537214921327,0.20036537214921327
2021-02-04T00:00:00+01:00@Europe/Zurich,Belgium,Europe,21260,11589616,183.44007256150678,0.18344007256150677
2021-02-04T00:00:00+01:00@Europe/Zurich,Slovenia,Europe,3580,2078932,172.20380464584701,0.172203804645847
2021-02-04T00:00:00+01:00@Europe/Zurich,United Kingdom,Europe,110462,67886004,162.71689816946656,0.16271689816946658
2021-02-04T00:00:00+01:00@Europe/Zurich,Czechia,Europe,16826,10708982,157.12044338107955,0.15712044338107956
2021-02-04T00:00:00+01:00@Europe/Zurich,Italy,Europe,90241,60461828,149.2528475983227,0.1492528475983227
2021-02-04T00:00:00+01:00@Europe/Zurich,Bosnia and Herzegovina,Europe,4745,3280815,144.6286974425562,0.1446286974425562
2021-02-04T00:00:00+01:00@Europe/Zurich,North Macedonia,Europe,2900,2083380,139.19688198984343,0.13919688198984342
2021-02-04T00:00:00+01:00@Europe/Zurich,US,North America,455881,329466283,138.3695459969116,0.13836954599691162
2021-02-04T00:00:00+01:00@Europe/Zurich,Liechtenstein,Europe,52,38137,136.35052573616173,0.13635052573616174
2021-02-04T00:00:00+01:00@Europe/Zurich,Bulgaria,Europe,9272,6948445,133.4399279263202,0.1334399279263202
2021-02-04T00:00:00+01:00@Europe/Zurich,Andorra,Europe,103,77265,133.307448391898,0.133307448391898
2021-02-04T00:00:00+01:00@Europe/Zurich,Hungary,Europe,12832,9660350,132.83162618331633,0.13283162618331634
2021-02-04T00:00:00+01:00@Europe/Zurich,Portugal,Europe,13482,10196707,132.2191566355687,0.1322191566355687
2021-02-04T00:00:00+01:00@Europe/Zurich,Montenegro,Europe,826,628062,131.51567838843937,0.13151567838843936
2021-02-04T00:00:00+01:00@Europe/Zurich,Spain,Europe,60802,46754783,130.0444491422407,0.1300444491422407
2021-02-04T00:00:00+01:00@Europe/Zurich,Mexico,North America,161240,127792286,126.17350001861615,0.12617350001861616
2021-02-04T00:00:00+01:00@Europe/Zurich,Peru,South America,41538,32971846,125.98020747761589,0.1259802074776159
2021-02-04T00:00:00+01:00@Europe/Zurich,Panama,North America,5391,4314768,124.94298650587935,0.12494298650587934
2021-02-04T00:00:00+01:00@Europe/Zurich,Croatia,Europe,5106,4105268,124.3767763761099,0.1243767763761099
2021-02-04T00:00:00+01:00@Europe/Zurich,France,Europe,77741,65273512,119.10037872636606,0.11910037872636607
2021-02-04T00:00:00+01:00@Europe/Zurich,Sweden,Europe,12028,10099270,119.09771696370134,0.11909771696370133
2021-02-04T00:00:00+01:00@Europe/Zurich,Switzerland,Europe,9556,8654618,110.41504084871221,0.1104150408487122
2021-02-04T00:00:00+01:00@Europe/Zurich,Colombia,South America,55131,50882884,108.34881136061391,0.10834881136061392
2021-02-04T00:00:00+01:00@Europe/Zurich,Argentina,South America,48700,45195777,107.75343014901593,0.10775343014901592
2021-02-04T00:00:00+01:00@Europe/Zurich,Brazil,South America,228795,212559409,107.63814270861093,0.10763814270861093
2021-02-04T00:00:00+01:00@Europe/Zurich,Lithuania,Europe,2885,2722291,105.97691429755307,0.10597691429755306
2021-02-04T00:00:00+01:00@Europe/Zurich,Armenia,Asia,3107,2963234,104.85165869452092,0.10485165869452093
2021-02-04T00:00:00+01:00@Europe/Zurich,Poland,Europe,38344,37846605,101.31423941460535,0.10131423941460535
2021-02-04T00:00:00+01:00@Europe/Zurich,Chile,South America,18731,19116209,97.98490903714224,0.09798490903714224
2021-02-04T00:00:00+01:00@Europe/Zurich,Romania,Europe,18675,19237682,97.07510499445827,0.09707510499445828
2021-02-04T00:00:00+01:00@Europe/Zurich,Luxembourg,Europe,588,625976,93.93331373726788,0.09393331373726789
2021-02-04T00:00:00+01:00@Europe/Zurich,Slovakia,Europe,4976,5459643,91.14149038682565,0.09114149038682566
2021-02-04T00:00:00+01:00@Europe/Zurich,Bolivia,South America,10633,11673029,91.09032454215611,0.09109032454215611
2021-02-04T00:00:00+01:00@Europe/Zurich,Austria,Europe,7936,9006400,88.11511813821282,0.08811511813821282
2021-02-04T00:00:00+01:00@Europe/Zurich,Moldova,Europe,3497,4033963,86.68894583316704,0.08668894583316704
2021-02-04T00:00:00+01:00@Europe/Zurich,Ecuador,South America,14968,17643060,84.83789093275203,0.08483789093275203
2021-02-04T00:00:00+01:00@Europe/Zurich,Netherlands,Europe,14346,17134873,83.72399375239023,0.08372399375239023
2021-02-04T00:00:00+01:00@Europe/Zurich,Kosovo,Europe,1514,1810366,83.62949812358384,0.08362949812358385
2021-02-04T00:00:00+01:00@Europe/Zurich,Georgia,Asia,3240,3989175,81.21980108669086,0.08121980108669086
2021-02-04T00:00:00+01:00@Europe/Zurich,Belize,North America,306,397621,76.95770595617435,0.07695770595617435
