file_date,Country_Region,continent_name,total_confirmed,population,kpi_comfirmed_100000,kpi_comfirmed_100
2021-02-05T00:00:00+01:00@Europe/Zurich,Solomon Islands,Oceania,17,652858,2.6039353121199404,0.0026039353121199405
2021-02-05T00:00:00+01:00@Europe/Zurich,Vietnam,Asia,1976,97338583,2.0300274969073673,0.0020300274969073675
2021-02-05T00:00:00+01:00@Europe/Zurich,Samoa,Oceania,2,196130,1.0197318105338296,0.0010197318105338296
2021-02-05T00:00:00+01:00@Europe/Zurich,Micronesia,Oceania,1,113815,0.8786188112287484,8.786188112287484E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Tanzania,Africa,509,59734213,0.852107987092757,8.52107987092757E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Laos,Asia,45,7275556,0.6185094307569071,6.185094307569071E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Vanuatu,Oceania,1,292680,0.3416700833675003,3.416700833675003E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Diamond Princess,,712,,,
2021-02-05T00:00:00+01:00@Europe/Zurich,MS Zaandam,,9,,,
2021-02-04T00:00:00+01:00@Europe/Zurich,Andorra,Europe,10137,77265,13119.782566491944,13.119782566491944
2021-02-04T00:00:00+01:00@Europe/Zurich,Montenegro,Europe,63633,628062,10131.643054348137,10.131643054348137
2021-02-04T00:00:00+01:00@Europe/Zurich,Czechia,Europe,1013352,10708982,9462.636131053354,9.462636131053353
2021-02-04T00:00:00+01:00@Europe/Zurich,San Marino,Europe,3111,33938,9166.715775826508,9.166715775826507
2021-02-04T00:00:00+01:00@Europe/Zurich,Slovenia,Europe,171340,2078932,8241.731812295928,8.241731812295928
2021-02-04T00:00:00+01:00@Europe/Zurich,Luxembourg,Europe,51330,625976,8199.994887982926,8.199994887982925
2021-02-04T00:00:00+01:00@Europe/Zurich,US,North America,26680214,329466283,8098.010441936482,8.098010441936482
2021-02-04T00:00:00+01:00@Europe/Zurich,Israel,Asia,675618,8655541,7805.6126127760235,7.805612612776024
2021-02-04T00:00:00+01:00@Europe/Zurich,Panama,North America,324489,4314768,7520.4275177715235,7.520427517771523
2021-02-04T00:00:00+01:00@Europe/Zurich,Portugal,Europe,748858,10196707,7344.1160955198575,7.3441160955198574
2021-02-04T00:00:00+01:00@Europe/Zurich,Lithuania,Europe,184948,2722291,6793.836514906011,6.793836514906011
2021-02-04T00:00:00+01:00@Europe/Zurich,Liechtenstein,Europe,2513,38137,6589.401368749509,6.589401368749509
2021-02-04T00:00:00+01:00@Europe/Zurich,Georgia,Asia,260480,3989175,6529.67092193248,6.52967092193248
2021-02-04T00:00:00+01:00@Europe/Zurich,Spain,Europe,2913425,46754783,6231.287609654823,6.2312876096548235
2021-02-04T00:00:00+01:00@Europe/Zurich,Belgium,Europe,718847,11589616,6202.509211694331,6.202509211694331
2021-02-04T00:00:00+01:00@Europe/Zurich,Bahrain,Asia,105496,1701583,6199.873882143862,6.199873882143862
2021-02-04T00:00:00+01:00@Europe/Zurich,Switzerland,Europe,530289,8654618,6127.237504878898,6.127237504878899
2021-02-04T00:00:00+01:00@Europe/Zurich,Netherlands,Europe,1007268,17134873,5878.4678474127,5.878467847412701
2021-02-04T00:00:00+01:00@Europe/Zurich,Sweden,Europe,584674,10099270,5789.2699175286925,5.789269917528693
2021-02-04T00:00:00+01:00@Europe/Zurich,United Kingdom,Europe,3903706,67886004,5750.384129252916,5.750384129252916
2021-02-04T00:00:00+01:00@Europe/Zurich,Croatia,Europe,234153,4105268,5703.720195612077,5.703720195612076
2021-02-04T00:00:00+01:00@Europe/Zurich,Armenia,Asia,167568,2963234,5654.902717773892,5.654902717773892
2021-02-04T00:00:00+01:00@Europe/Zurich,Qatar,Asia,152898,2881060,5307.005060637404,5.307005060637405
2021-02-04T00:00:00+01:00@Europe/Zurich,France,Europe,3310071,65273512,5071.07844909586,5.07107844909586
2021-02-04T00:00:00+01:00@Europe/Zurich,Slovakia,Europe,256903,5459643,4705.4908168904085,4.705490816890409
2021-02-04T00:00:00+01:00@Europe/Zurich,Austria,Europe,419801,9006400,4661.140966423876,4.661140966423876
2021-02-04T00:00:00+01:00@Europe/Zurich,Serbia,Europe,402700,8737370,4608.938387638385,4.608938387638386
2021-02-04T00:00:00+01:00@Europe/Zurich,Lebanon,Asia,312269,6825442,4575.073672884481,4.575073672884481
2021-02-04T00:00:00+01:00@Europe/Zurich,North Macedonia,Europe,93882,2083380,4506.235060334649,4.506235060334649
2021-02-04T00:00:00+01:00@Europe/Zurich,Brazil,South America,9396293,212559409,4420.549080469075,4.420549080469075
2021-02-04T00:00:00+01:00@Europe/Zurich,Argentina,South America,1961635,45195777,4340.30595380626,4.34030595380626
2021-02-04T00:00:00+01:00@Europe/Zurich,Italy,Europe,2597446,60461828,4296.009707149443,4.296009707149443
2021-02-04T00:00:00+01:00@Europe/Zurich,Colombia,South America,2135412,50882884,4196.719667069186,4.1967196670691855
2021-02-04T00:00:00+01:00@Europe/Zurich,Malta,Europe,18385,441539,4163.8450963561545,4.163845096356154
2021-02-04T00:00:00+01:00@Europe/Zurich,Monaco,Europe,1596,39244,4066.86372439099,4.0668637243909895
2021-02-04T00:00:00+01:00@Europe/Zurich,Ireland,Europe,200744,4937796,4065.4575442160835,4.065457544216083
2021-02-04T00:00:00+01:00@Europe/Zurich,Poland,Europe,1533511,37846605,4051.911657597822,4.051911657597822
2021-02-04T00:00:00+01:00@Europe/Zurich,Moldova,Europe,162624,4033963,4031.370639740622,4.031370639740622
2021-02-04T00:00:00+01:00@Europe/Zurich,Kuwait,Asia,168250,4270563,3939.761572420311,3.939761572420311
